Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
14:24:21 25/12/2024, 22.28, 72.11, 48.64, 1024.37
14:24:31 25/12/2024, 22.27, 72.08, 48.84, 1024.34
14:24:54 25/12/2024, 22.28, 72.10, 49.71, 1024.44
14:24:55 25/12/2024, 22.27, 72.08, 49.66, 1024.37
14:24:56 25/12/2024, 22.26, 72.07, 49.60, 1024.39
14:24:57 25/12/2024, 22.26, 72.07, 49.55, 1024.33
14:24:58 25/12/2024, 22.27, 72.08, 49.49, 1024.42
14:24:59 25/12/2024, 22.27, 72.08, 49.44, 1024.40
14:25:00 25/12/2024, 22.27, 72.09, 49.40, 1024.41
14:25:01 25/12/2024, 22.28, 72.11, 49.39, 1024.37
14:25:02 25/12/2024, 22.28, 72.11, 49.43, 1024.42
14:25:03 25/12/2024, 22.28, 72.11, 49.55, 1024.42
14:25:04 25/12/2024, 22.31, 72.16, 49.68, 1024.39
14:25:05 25/12/2024, 22.31, 72.15, 49.90, 1024.38
14:25:06 25/12/2024, 22.33, 72.20, 50.25, 1024.42
14:25:07 25/12/2024, 22.34, 72.22, 50.73, 1024.41
14:25:08 25/12/2024, 22.36, 72.25, 51.13, 1024.42
14:25:09 25/12/2024, 22.38, 72.28, 51.42, 1024.42
14:25:10 25/12/2024, 22.40, 72.31, 51.64, 1024.45
14:25:11 25/12/2024, 22.39, 72.31, 51.79, 1024.42
14:25:12 25/12/2024, 22.43, 72.38, 51.91, 1024.40
14:25:13 25/12/2024, 22.44, 72.39, 52.02, 1024.38
14:25:14 25/12/2024, 22.46, 72.42, 52.03, 1024.42
14:25:15 25/12/2024, 22.47, 72.45, 52.12, 1024.41
14:25:16 25/12/2024, 22.48, 72.46, 52.20, 1024.39
14:25:17 25/12/2024, 22.49, 72.48, 52.23, 1024.38
14:25:18 25/12/2024, 22.49, 72.49, 52.31, 1024.39
14:25:19 25/12/2024, 22.49, 72.48, 52.21, 1024.41
14:25:20 25/12/2024, 22.48, 72.47, 52.03, 1024.38
14:25:21 25/12/2024, 22.50, 72.50, 51.80, 1024.43
14:25:22 25/12/2024, 22.49, 72.48, 51.52, 1024.36
14:25:23 25/12/2024, 22.47, 72.45, 51.48, 1024.44
14:25:24 25/12/2024, 22.47, 72.45, 51.62, 1024.39
14:25:25 25/12/2024, 24.01, 75.21, 68.92, 1024.40
14:25:26 25/12/2024, 23.65, 74.58, 73.77, 1024.45
14:25:27 25/12/2024, 23.52, 74.33, 75.66, 1024.41
14:25:28 25/12/2024, 23.46, 74.22, 76.94, 1024.39
14:25:30 25/12/2024, 23.42, 74.15, 78.06, 1024.41
14:25:31 25/12/2024, 23.35, 74.03, 78.92, 1024.33
14:25:32 25/12/2024, 23.30, 73.93, 79.66, 1024.37
14:25:33 25/12/2024, 23.26, 73.86, 80.25, 1024.38
14:25:34 25/12/2024, 23.21, 73.77, 80.77, 1024.41
14:25:35 25/12/2024, 23.15, 73.66, 81.22, 1024.42
14:25:36 25/12/2024, 22.83, 73.09, 78.57, 1024.35
14:25:37 25/12/2024, 22.69, 72.84, 74.15, 1024.42
